label,message
1,10.10 festival selamat anda  m-dapatkan hadiah ke-2 cek tunai rp.175jt pin (j7k2b59) info klik di: s.id/program-hadiah77
1,surat keputusan dari pt.shopee slamat anda m-dapatkan cek tunai rp.175jt pin pemenang;(25f4777) u/info klik; bit.ly/undiansho-pee75
1,info pemenang slamat!!! no.anda t-pilih m-dapatkan cek rp.175.000.000 dri sh0pee 2020 pin 25f4777 info hadiah klik: https://s.id/my-shopee
1,no.and4 terpilih mndptkn rp.175jt program thunan rejeki sh0pee 2020 pin id ( j7k2b59 ) u/info klik: s.id/pemenang-resmi
2,oktober untung !! kartu super bagus dan jackpot fantastis boss ! login akunmu rebut untungnya dengan kartu yang lebih ringan dengan loginsite : vipbaru.org
1,info no anda mndptkan hadiah ke-2 rp:175jt dri pt.shopee dgn id;25f4777 hub:085656342729 klik id anda di bit.ly/shopeejkt272
1,info no anda mdptkan hadiah ke-2 rp.175jt dri pt.shopee dgn id:25f4777 hub:085656664139 klik:id anda di bit.ly/ptshopeeid139
1,"""info trakhir..!!!selamt anda resmi t-pilih mndptkan uang tunai rp.175.000.000 dr pt.lazada.kode id pmenang anda kbr99d7 u/info klik: www.hadiahundianlazada.ga"
2,sambut jumat barokah ini dengan kemenangan di link hoki jackpotvipbaru.com login skrng juga garansi kartu bagus meja ringan siap menemanimu didalam permainan!!
1,"lazada grandprize!!! selamat, anda  adalah pemenang  jutawan pt.lazada rp.175jt dengan  no.id:ck5730bk u/info lanjut klik: http://tinyurl.com/undian-lazada57"
1,pesan resmi no.anda resmi meraih hadiah ke-2 rp.175jta dari pt.shopee kode pin anda 25f4777 silahkan cocokan pin anda klik: bit.ly/shopeejkt973
1,anda m-dpatkan cek rp.125jt  program shopee 2020  code id (257a7g77)  u/cara pengambilan  kelik bit.ly/infohadiah1212
4,"assalamulaikum wr.wb kami jual ikan arwana super red,ukuran 10 cm s/d 60cm hasil penangkaran sendiri. jika berminat. info hrg,wa.081242635410"
1,"ass, saya yg minat dgn rumahnya sya hub tapi susah masuk u/hrga per tahun berapa? atau kalau ada waktu tlng hub suami saya 085295522499.  h.yusuf. trmksh."
